year,season,source_index,pid,area_km2,slope_class,slope_label,is_hillside,footprint_area_km2,footprint_elev_min_m,footprint_elev_max_m,T1_C,T1_pixels,T1_valid_weight,T1_expected_weight,T1_valid_fraction,T0_C,T0_pixels,dT_C,elev_band
2000,summer,10954,10955,0.0018,0,0-5,False,0.0107999999999997,302.4137878417969,310.9949645996094,28.209999084472653,1,0.0094960227339389,0.0094960227339389,1.0,28.207978390667428,11186,0.0020206938052247,0-500
2000,summer,8737,8738,0.0009,0,0-5,False,0.0053999999999998,512.0154418945312,528.134033203125,27.270000457763672,1,0.4600110395327279,0.4600110395327279,1.0,27.280829086549414,24196,-0.0108286287857417,500-1000
2000,summer,15090,15091,0.0009,0,0-5,False,0.0053999999999973,1131.5596923828125,1135.132080078125,25.613176345825195,1,0.4448970566249328,0.4448970566249328,1.0,25.61886589378758,8857,-0.0056895479623833,1000-1500
2000,summer,7687,7688,0.0081,0,0-5,False,0.0486000000000023,1998.7366943359373,2017.826171875,26.843044516372878,6,3.914155530452576,3.914155530452576,1.0,26.86103262974046,88096,-0.0179881133675863,1500-2000
2000,summer,401,402,0.0009,0,0-5,False,0.0053999999999994,2424.7880859375,2427.791748046875,27.76964569091797,1,0.2191090104603064,0.2191090104603064,1.0,27.771259773817132,26575,-0.0016140828991666,2000-2500
2000,summer,3186,3187,0.0009,0,0-5,False,0.005399999999999,2538.3525390625,2541.803466796875,27.57535934448242,1,0.2990437894738501,0.2990437894738501,1.0,27.570330199061445,29175,0.0050291454209734,2500-3000
2000,summer,15840,15841,0.0009,2,10-15,True,0.0053999999999999,249.2150115966797,266.1291809082031,28.75,1,0.0466467328487115,0.0466467328487115,1.0,28.777529127036043,21560,-0.0275291270360433,0-500
2000,summer,9314,9315,0.0009,2,10-15,True,0.0053999999999998,665.443359375,682.6727294921875,26.52099609375,1,0.3849135156904751,0.3849135156904751,1.0,26.52423836131715,27408,-0.003242267567149,500-1000
2000,summer,15572,15573,0.0009,2,10-15,True,0.0053999999999973,1099.9171142578125,1118.5074462890625,25.170000076293945,1,0.5095661474348826,0.5095661474348826,1.0,25.288183202487247,41985,-0.1181831261933012,1000-1500
2000,summer,8278,8279,0.0009,2,10-15,True,0.0053999999999998,1722.5963134765625,1734.7396240234375,25.545339584350582,1,0.2316954947698334,0.2316954947698334,1.0,25.54302827344379,33712,0.0023113109067942,1500-2000
